,date,title,selling price,cost price,discount
0,08/18/19,Kit of Brazuca Blue Football (Size-5)with Air Pump & Si,439,1999,78
1,08/18/19,COSCO CUBA Football (Size-5),599,619,3
2,08/18/19,Kit of Bluestar UEFA Champions League Football (Size-5),439,1999,78
3,08/18/19,Vector X ATTACKER-WHITE-BLUE-SKY-5 Football - Size 5  (,429,549,22
4,08/18/19,High Quality Football - Assorted,469,500,6
5,08/18/19,Combo of Conext15 Football (Size-5)with 7 Other items,1029,1999,49
6,08/18/19,Multicolor Brazuca Football (Size-5),529,1499,65
7,08/18/19,Ordem White/Orange Football (Size-5),529,1499,65
8,08/18/19,Conext15 Football (Size-5) (Pack of 2),539,2899,81
9,08/18/19,Blue Brazuca Football + Air Pump,539,1399,61
10,08/18/19,Kohinor Gems messi football size 5,699,1299,46
11,08/18/19,"Ceela Sports Dominator PU Football, Size 5 (Red/White)",499,1200,58
