,date,title,selling price,cost price,discount
0,08/18/19,Yellow Tree - Red  PurpleT- shirt Half Sleeves  High Qu,399,499,60
1,08/18/19,PAUSE Black Solid Cotton Round Neck Slim Fit Full Sleev,599,649,45
2,08/18/19,Redbrick Oblique Zipper Hoodies Men tshirt /t shirt 100,499,580,68
3,08/18/19,PAUSE Silver Solid Cotton Round Neck Slim Fit Full Slee,649,699,41
4,08/18/19,Redbrick Oblique Zipper Hoodies Men tshirt /t shirt 100,499,1199,58
5,08/18/19,PAUSE Red Solid Cotton Round Neck Slim Fit Short Sleeve,599,649,45
6,08/18/19,PAUSE Maroon Solid Cotton Round Neck Slim Fit Full Slee,649,699,41
7,08/18/19,Pause Yellow Solid Cotton Mandarin Slim Fit Full Sleeve,799,849,43
8,08/18/19,PAUSE Grey Solid Cotton Round Neck Slim Fit Short Sleev,599,649,45
9,08/18/19,PAUSE Black Solid Cotton Round Neck Slim Fit Full Sleev,599,649,45
10,08/18/19,PAUSE Silver Solid Cotton Round Neck Slim Fit Short Sle,599,649,45
11,08/18/19,Pause Blue Solid Cotton Mandarin Slim Fit Full Sleeve M,799,849,43
12,08/18/19,Yellow Tree - Red  PurpleT- shirt Half Sleeves  High Qu,399,499,60
13,08/18/19,PAUSE Black Solid Cotton Round Neck Slim Fit Full Sleev,599,649,45
14,08/18/19,Redbrick Oblique Zipper Hoodies Men tshirt /t shirt 100,499,580,68
15,08/18/19,PAUSE Silver Solid Cotton Round Neck Slim Fit Full Slee,649,699,41
16,08/18/19,Redbrick Oblique Zipper Hoodies Men tshirt /t shirt 100,499,1199,58
17,08/18/19,PAUSE Red Solid Cotton Round Neck Slim Fit Short Sleeve,599,649,45
18,08/18/19,PAUSE Maroon Solid Cotton Round Neck Slim Fit Full Slee,649,699,41
19,08/18/19,Pause Yellow Solid Cotton Mandarin Slim Fit Full Sleeve,799,849,43
20,08/18/19,PAUSE Grey Solid Cotton Round Neck Slim Fit Short Sleev,599,649,45
21,08/18/19,PAUSE Black Solid Cotton Round Neck Slim Fit Full Sleev,599,649,45
22,08/18/19,PAUSE Silver Solid Cotton Round Neck Slim Fit Short Sle,599,649,45
23,08/18/19,Pause Blue Solid Cotton Mandarin Slim Fit Full Sleeve M,799,849,43
24,08/18/19,Dudlind Mens Casual Hooded Sleeveless T-Shirt Colour Wh,614,999,39
25,08/18/19,Pause Yellow Solid Cotton Mandarin Slim Fit Full Sleeve,799,849,43
26,08/18/19,Dudlind Mens Casual Hooded Sleeveless T-Shirt Colour Da,614,999,39
27,08/18/19,Dudlind Mens Casual Hooded Sleeveless T-Shirt Colour Na,614,999,39
28,08/18/19,PAUSE Grey Solid Cotton Round Neck Slim Fit Full Sleeve,599,649,45
29,08/18/19,PAUSE Silver Solid Cotton Round Neck Slim Fit Full Slee,599,649,45
30,08/18/19,Abercrombie & Fitch Mens Polo Shirt,799,2399,67
31,08/18/19,Fashion Men's Casual T-Shirts Long Sleeve Polo Shirt St,650,1500,57
32,08/18/19,PAUSE Black Solid Cotton Round Neck Slim Fit Full Sleev,599,649,45
33,08/18/19,PAUSE Black Solid Cotton Round Neck Slim Fit Short Slee,599,649,45
34,08/18/19,PAUSE Navy Solid Cotton Round Neck Slim Fit Short Sleev,599,649,45
35,08/18/19,Yellow Tree combo of T - Shirt Gym Bag High Quality and,899,999,74
36,08/18/19,FAB69 Navy Color  Jersey Polo Shirt,399,599,33
37,08/18/19,FAB69 White Color  Jersey Polo Shirt,399,599,33
38,08/18/19,FAB69 Black Color  Jersey Polo Shirt,399,599,33
39,08/18/19,FAB69 Grey Melange Color  Jersey Polo Shirt,399,599,33
40,08/18/19,Dudlind Mens Casual Hooded Sleeveless T-Shirt Colour Bl,614,999,39
41,08/18/19,Dudlind Mens Casual Hooded Sleeveless T-Shirt Colour Gr,614,999,39
42,08/18/19,PAUSE Maroon Solid Cotton Round Neck Slim Fit Full Slee,599,649,45
43,08/18/19,Yellow Tree  - Sky blue  T - Shirt Round neck Quality,399,799,64
44,08/18/19,Yellow Tree combo of T - Shirt Gym Bag High Quality and,649,1199,75
45,08/18/19,Dudlind Men Clothing Casual Hooded Sleeveless T-Shirts ,1288,1998,36
46,08/18/19,Dudlind Men Clothing Casual Hooded Sleeveless Cotton T-,1288,1998,36
47,08/18/19,Yellow Tree Combo Of Two  T - Shirt And Watch High Qual,899,999,74
48,08/18/19,Lisova Set of 2 Men's Formal Shirt 100 Cotton White and,1099,2199,50
49,08/18/19,SCUBE Cotton Casual Dark Red Checked Slim Fit Shirt,999,1200,17
50,08/18/19,Kundan Sulz Gwalior Men's Executive Pure Cotton Printed,549,799,58
51,08/18/19,Balino London Solid Cotton Poly-Cotton Shirts for Men P,1199,2999,60
52,08/18/19,Black Bee Solid Cotton Poly-Cotton Shirts for Men Pack ,699,999,42
53,08/18/19,Kundan Sulz Gwalior Men's Executive Pure Cotton Printed,549,799,58
54,08/18/19,Black Bee Stylish Multi Casual Poly-Cotton Shirts pack ,999,3499,71
55,08/18/19,Balino London Pack of 4 Slim Fit Poly-Cotton Shirts For,899,999,63
56,08/18/19,Lisova Beige MenS Plain Formal Slim Fit Shirt,450,599,62
57,08/18/19,Lisova Navy Blue Black Printed Regular Fit Casual Shirt,599,949,68
58,08/18/19,Van Galis Multi Formal Regular Fit Shirt Pack Of 2,699,749,63
59,08/18/19,white formal shirt,1200,1800,33
60,08/18/19,Raymond Makers Unstitched Fabric for Shirt & Trouser in,1144,1499,24
61,08/18/19,Black Bee Collar Regular Fit Poly-Cotton Shirt for Men ,549,699,35
62,08/18/19,Black Bee Collar Regular Fit Poly-Cotton Shirt for Men ,949,1499,37
63,08/18/19,Black Bee Solid Regular Fit Poly-Cotton Shirts For Men ,899,1399,47
64,08/18/19,Red Code Pack of 2 Men's  Slim Fit Casual Poly-Cotton S,549,649,58
65,08/18/19,Black Bee Pack of 4 Slim Fit Poly-Cotton Shirts For Men,899,1399,47
66,08/18/19,Van Galis Multicolor  Combo Of Mens Polo Tshirt And Cas,699,882,61
67,08/18/19,cotton shirt,1190,1990,40
68,08/18/19,Kundan Sulz Gwalior Men's Executive Black Print Shirt &,498,699,62
69,08/18/19,Balino London  Slim Fit Casual Poly-Cotton Shirt for Me,1199,1299,71
70,08/18/19,Kundan Sulz Gwalior Men's Executive Pure Cotton Linen B,599,799,54
71,08/18/19,Kundan Sulz Gwalior Men's Executive Pure Cotton Linen B,599,799,54
